T h M_Wynn S_Wynn M_Euler S_Euler M_raw S_raw 
0.0 0.0 NaN NaN NaN NaN NaN NaN 
0.1 0.0 5.715844078558001e-14 0.1893332311916125 -6.9696800808389224e-12 58.04432659630366 -4.845352282862659e-10 9291.302035323777 
0.2 0.0 3.007486238651679e-14 0.2582955471278814 -2.013627528917765e-12 7.536600019504142 -1.4299188943641564e-10 308.6252889437759 
0.3 0.0 5.0012700746911024e-14 0.4068393155433281 -4.0356205740705344e-13 2.1929233831346124 -3.040280784118292e-11 28.52543068906283 
0.4 0.0 1.6049662378285694e-13 0.4886283342783695 2.277868409091457e-13 1.0610010776972305 3.570842511067819e-12 4.870860725314812 
0.5 0.0 4.853635043656839e-13 0.5366293581792505 2.719609108479006e-13 0.7623981385522508 2.8770705088160203e-11 1.428010422526125 
0.6 0.0 -2.9828813644810815e-13 0.5688876057969626 2.7683634414008207e-13 0.6722346959747985 2.349379303818324e-11 0.7885662570695603 
0.7 0.0 -2.7971769604093232e-14 0.5920650372676524 2.8563587567196694e-13 0.6447787730944026 1.7496915810737914e-11 0.6552423885529844 
0.8 0.0 4.5770344187017115e-14 0.6093591833365855 6.452905814671557e-14 0.6385303857683988 2.014048844476054e-12 0.6299862457997829 
0.9 0.0 2.9563489609261687e-15 0.622611140420594 1.4190865372132056e-13 0.6398127422372892 2.8814677822437682e-11 0.6300942598726287 
1.0 0.0 -2.2746627200396604e-14 0.6329827752524777 2.4626276587602456e-13 0.6436557435101508 2.7762660723666145e-11 0.6359485548674682 
1.1 0.0 2.800430980535005e-14 0.6412458149445754 -3.705329087607919e-14 0.6481501854150407 -6.709882494244671e-12 0.6425127872120104 
1.2 0.0 2.2671584712336707e-14 0.6479308166624905 1.2613275643639914e-13 0.6525557775390713 1.835762629087646e-11 0.6485079741095827 
1.3 0.0 2.4668748708268793e-13 0.65341237253792 1.491210257611644e-13 0.656603545511872 1.1730493546058268e-11 0.6536903070422643 
1.4 0.0 6.832131631266099e-14 0.657960892191366 1.6254612446888384e-13 0.6602195730397141 1.8545669497780456e-11 0.6581013755840521 
1.5 0.0 -4.338668443422448e-15 0.6617753694076258 -2.2360292592830591e-13 0.6634098648925467 -9.835698932667025e-12 0.6618494656363358 
1.6 0.0 1.2880935241780244e-15 0.6650047564400592 -4.128260594725603e-14 0.6662108102430037 -1.3912142969727172e-11 0.6650453384682792 
1.7 0.0 -1.3258973368049436e-14 0.6677622599443814 2.008898866710806e-14 0.6686676542064581 -7.177886220124647e-12 0.6677852453018082 
1.8 0.0 1.1808433213941627e-14 0.6701351102633822 2.418278753912091e-14 0.6708253334212116 -3.410348001722266e-12 0.6701485266684905 
