T h M_Wynn S_Wynn M_Euler S_Euler M_raw S_raw 
0.0 0.0 NaN NaN NaN NaN NaN NaN 
0.1 0.0 -1.9663630385034384e-13 0.194114930611744 -9.590962234726188e-12 6.33884538683982 -9.420558856256543e-10 338.00047525222953 
0.2 0.0 -9.448270962953627e-14 0.2614478497380981 -2.5457284001681485e-12 2.371452615600768 -2.936368148298252e-10 84.31865087916121 
0.3 0.0 -5.4892918819527247e-14 0.41252003576781904 -8.031904582055741e-13 1.1763900784343024 -1.2761255316694418e-10 18.460427116239043 
0.4 0.0 -3.584572321539872e-14 0.5015244088118358 -3.4402451624575226e-13 0.8184053835869853 -7.172255746318452e-11 4.202332207133946 
0.5 0.0 -2.1212676090355487e-14 0.5504239653596983 2.8220087868349106e-13 0.6989846284539799 -1.8222620231955867e-11 1.3916640586305158 
0.6 0.0 -1.482529984098865e-14 0.5813405640457674 3.612980488201922e-15 0.6577391380529407 -4.176472819632525e-11 0.8016640514900307 
0.7 0.0 -1.3166080393456842e-14 0.6027489784176185 3.999071814231075e-13 0.6450007073015136 4.25578862896633e-12 0.6687070069387306 
0.8 0.0 -1.475861504907377e-14 0.6183915872488022 2.3838577297189636e-13 0.6431770284001341 -1.670930638909361e-11 0.6405679708151376 
0.9 0.0 -1.933589094797851e-14 0.6302371194569585 5.5863037110734845e-14 0.6455017409945589 -2.271929604297057e-11 0.6384674768137754 
1.0 0.0 4.0698463712425154e-15 0.6394476333936986 4.680221104356908e-13 0.6492400789998453 1.5471083538543887e-11 0.6427698105117263 
1.1 0.0 -2.288739517846279e-15 0.646760856309063 8.960885848394062e-13 0.6532641805698279 3.498922655105685e-11 0.6482016631911087 
1.2 0.0 -1.1054448269582942e-14 0.652668893554771 -9.574208881474052e-14 0.6571182017049781 -1.5051774572049505e-11 0.6533336162078927 
1.3 0.0 -2.161575990777554e-15 0.657512220147559 -1.8472067963685913e-13 0.6606357771047484 -1.2081135180791462e-11 0.6578358021261325 
1.4 0.0 2.301307042116708e-15 0.6615332734451337 1.9486254575696627e-13 0.6637761646151714 -3.2128063708131145e-12 0.6616983627276347 
1.5 0.0 -9.536644513702764e-15 0.6649088152841803 -3.133414468151866e-14 0.6665517266020735 -2.5097440762298593e-11 0.6649966003971717 
1.6 0.0 -5.731329037484738e-15 0.6677703348301846 -8.598496830459378e-14 0.6689952418497745 -3.514568528183218e-11 0.6678187589741325 
1.7 0.0 -5.087937154487963e-15 0.6702173574861384 5.250123595418405e-13 0.6711451745984878 1.5100955131731195e-11 0.6702449586602689 
1.8 0.0 -4.742627076998846e-15 0.6723263737894527 2.5523786077803333e-15 0.6730392274489385 -3.150491460023207e-11 0.6723425757378 
1.9 0.0 -3.444809557156675e-16 0.6741569733957701 -1.297636763563006e-13 0.6747117577515481 -2.4227101356432162e-11 0.6741667396899096 
2.0 0.0 -3.622847898676193e-15 0.6757561476102807 -3.897670091706644e-14 0.676192986885367 -1.7967678070706886e-11 0.6757621777414701 
2.1 0.0 1.4544247961516158e-15 0.6771613623490094 3.857038627765698e-13 0.6775090163894493 1.2453723758626304e-11 0.6771651681814139 
2.2 0.0 1.886931395908023e-15 0.6784027882668435 4.4332326322672405e-14 0.678682178631354 -1.592915018944712e-11 0.6784052387551228 
2.3 0.0 -2.338066158217932e-15 0.6795049440993798 -6.170009626689626e-13 0.6797314977544914 -5.387449615832134e-11 0.6795065513694281 
2.4 0.0 2.497109784735747e-14 0.6804879222973478 -2.0549462062274095e-13 0.6806731574097782 -1.6090564426698006e-11 0.6804889943504514 
2.5 0.0 -9.630232903551993e-15 0.6813683158316349 -6.058765699407876e-14 0.6815209313200119 -2.1653403767292666e-11 0.6813690421210331 
2.6 0.0 -2.0718829101405477e-15 0.6821599253037993 4.0665650632403883e-13 0.682286561110282 3.626972840674759e-11 0.6821604245302669 
2.7 0.0 2.065219950436704e-15 0.682874304875497 6.193546959575769e-14 0.6829800795746912 9.848510700404453e-12 0.6828746525964675 
2.8 0.0 3.563867307622882e-16 0.6835211877042312 -4.892354204589247e-13 0.6836100833056112 -4.406253460490089e-11 0.683521433027412 
2.9 0.0 -8.961245006358374e-15 0.6841088197295548 -5.894042054095038e-13 0.6841839607641882 -4.3219774025398153e-11 0.6841089948898721 
3.0 0.0 3.465198462373815e-15 0.6846442245209597 5.398144954357869e-13 0.6847080823881412 5.40805774803522e-11 0.6846443508841328 
3.1 0.0 -7.468493694059369e-14 0.6851334146445603 -2.0875126173749428e-13 0.685187958754659 -2.0395278641262167e-11 0.6851335067539318 
3.2 0.0 -6.580536206610282e-16 0.6855815613225993 3.4649995261835057e-13 0.6856283722003157 1.8986934253501575e-11 0.6855816290131622 
3.3 0.0 4.0913018114229115e-15 0.6859931321514927 -2.2667701585507424e-13 0.6860334864746208 -1.4296183896225198e-11 0.6859931825084549 
3.4 0.0 2.7974718173787625e-15 0.6863720026017404 3.554158332113522e-13 0.6864069382517269 2.4300214679981655e-11 0.686372040390558 
3.5 0.0 -9.457434835545075e-15 0.6867215480110364 -7.482704961713533e-14 0.6867519136982698 -5.23878081882214e-12 0.6867215765207513 
