T h M_Wynn S_Wynn M_Euler S_Euler M_raw S_raw 
0.0 0.0 NaN NaN NaN NaN NaN NaN 
0.1 0.0 -1.98559658536729e-13 0.13678585992278292 -5.690689195989756e-12 4.598714892486232 -9.77317989956956e-10 296.82186508315965 
0.2 0.0 -8.173258092121941e-14 0.259862056011535 -1.466995181046862e-12 2.138446280090932 -3.113617079978125e-10 80.88631137173603 
0.3 0.0 -5.3627275618107266e-14 0.4123717733719885 -6.876581486024526e-13 1.1331249116972535 -1.4600392988754533e-10 18.212316368068358 
0.4 0.0 -4.1040485577628494e-14 0.5023350670038949 -3.0996508666385584e-15 0.8086640049748121 -6.078548689713765e-11 4.184470317126953 
0.5 0.0 -3.561665221448002e-14 0.5513537065431573 -1.888966205024835e-13 0.69675349543977 -5.757580709125527e-11 1.391629965965585 
0.6 0.0 -2.8816983406192676e-14 0.5821693644752909 1.8087398356740535e-13 0.6574756372295874 -3.2341518700272985e-11 0.8027688090898406 
0.7 0.0 -1.800340388094316e-14 0.6034455867949928 8.511336945243361e-14 0.6452803861232899 -3.2443917093838005e-11 0.6695996478639455 
0.8 0.0 -3.113662094399512e-14 0.6189694754186621 -3.8610368189885316e-14 0.6435850487915553 -1.8021594485269347e-11 0.641241151574289 
0.9 0.0 -1.1964352577609968e-14 0.6307172365761378 -4.692217375568169e-13 0.6459102717175985 -5.4163151401680625e-11 0.6389916963255984 
1.0 0.0 -1.4844994394329907e-14 0.6398491827453507 6.780040886551607e-14 0.649611562302266 -5.337826694766382e-12 0.643192057878059 
1.1 0.0 -4.5592694992155137e-14 0.6470995233522199 3.3317204426394215e-13 0.6535910256201719 2.4405880851429647e-11 0.6485503573090925 
1.2 0.0 -7.59739644177251e-15 0.6529570339385038 1.2857420817826558e-14 0.6574026803769385 -2.2132572351081525e-11 0.653626793832631 
1.3 0.0 -1.9468254249570325e-15 0.6577594694920167 -3.040298419397657e-13 0.6608829785890589 -3.9040068178963087e-11 0.65808567529782 
1.4 0.0 -1.8072810705184502e-14 0.6617471508033013 -1.5435315113905627e-13 0.6639915052301044 -8.840445027794376e-12 0.6619136550597607 
1.5 0.0 -1.2751642120988434e-14 0.6650952192093658 -8.229212966712736e-14 0.6667401233986188 -2.6637552784963996e-11 0.6651837919768644 
1.6 0.0 -2.2679478496887635e-14 0.6679339271804599 1.6086058015987523e-14 0.6691609041727068 -2.4254761851358316e-11 0.66798280308866 
1.7 0.0 -6.5539048694709396e-15 0.6703618531650894 -1.3495395215055267e-13 0.6712916188899097 -4.245025908844819e-11 0.6703897205104243 
1.8 0.0 -1.1721226655050904e-16 0.6724547582561966 9.312087715210768e-14 0.6731693632227791 -2.3871570332225667e-11 0.6724711209852559 
1.9 0.0 -6.349643119520334e-14 0.6742716659838669 -1.9076124160748549e-13 0.6748279867228358 -1.3252566083088568e-11 0.6742815314959988 
2.0 0.0 -2.5185199039857384e-15 0.6758591248901988 1.4845906761226206e-13 0.6762972944608715 -6.315219786526144e-12 0.6758652177923402 
2.1 0.0 -1.4274076499902724e-14 0.6772542513715903 -4.733822942873726e-13 0.677603049489949 -4.442115904566347e-11 0.677258097526407 
2.2 0.0 5.258832463374307e-15 0.6784869385064537 1.4571216402874935e-13 0.6787673096106751 3.6618404601199446e-11 0.6784894156330092 
2.3 0.0 5.3786938249175285e-15 0.6795814821515722 -8.81845230238463e-14 0.6798088759178808 -1.2779646649401585e-11 0.6795831070180053 
2.4 0.0 -4.829602722483365e-15 0.6805577952152049 9.93601374576465e-14 0.6807437503628939 -7.011270173721963e-12 0.6805588790563446 
2.5 0.0 -7.291363091922655e-15 0.6814323244812994 9.116310582222177e-14 0.6815855579766418 -3.32346251265781e-11 0.6814330589335595 
2.6 0.0 -5.447230903650755e-15 0.6822187507834668 -2.726249097152698e-13 0.6823459181557614 -2.1972277600918018e-11 0.6822192557024919 
2.7 0.0 -1.4332076730299916e-14 0.6829285297036257 -1.834339200643609e-13 0.6830347627033685 -3.1675939281189505e-11 0.6829288815458742 
